PLAYER,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
Virat Kohli,177,169,26,5412,113,37.64,4112,128.45,5,36,480,190
Suresh Raina,193,189,28,5368,100,34.23,3914,136.83,1,38,493,194
Rohit Sharma,188,183,28,4898,109,31.83,3744,130.86,1,36,431,194
Shikhar Dhawan,164,162,21,4619,97,30.32,3714,118.87,0,37,527,96
David Warner,119,119,17,4543,126,44.5,3173,143.39,4,43,442,176
Chris Gayle,125,124,15,4484,175,39.81,2969,146.0,6,28,369,326
MS Dhoni,190,170,65,4432,84,46.77,3215,137.89,0,23,297,209
Robin Uthappa,177,170,17,4411,87,28.9,3380,130.72,0,24,435,156
Gautam Gambhir,139,137,15,3931,93,31.54,3126,122.81,0,35,459,57
AB de Villiers,139,129,28,3930,133,36.84,2551,146.15,2,30,318,200
Ajinkya Rahane,138,130,16,3816,105,32.65,3116,122.36,2,27,403,74
Shane Watson,134,130,15,3575,117,31.86,2562,136.67,4,19,343,177
Dinesh Karthik,167,150,23,3366,97,27.01,2598,129.33,0,17,337,92
Ambati Rayudu,147,140,25,3300,100,28.36,2620,125.54,1,18,278,120
Yusuf Pathan,174,154,44,3204,100,30.3,2241,138.14,1,13,262,158
Brendon McCullum,108,108,5,2874,158,30.34,2179,136.29,2,13,292,130
Parthiv Patel,139,137,11,2848,81,22.32,2358,119.01,0,13,365,49
Manish Pandey,127,118,23,2840,114,34.16,2344,121.67,1,15,253,75
Kieron Pollard,148,135,39,2755,83,28.54,1877,145.44,0,14,181,176
Yuvraj Singh,132,126,15,2750,83,24.5,2120,128.2,0,13,217,149
Murali Vijay,102,102,5,2575,127,25.99,2096,117.4,2,13,243,90
Virender Sehwag,93,93,4,2530,122,27.79,1617,153.52,2,15,310,99
Shaun Marsh,71,69,7,2477,115,38.61,1866,131.62,1,20,266,78
Jacques Kallis,98,96,11,2427,89,28.61,2222,109.36,0,17,255,44
Dwayne Smith,91,89,5,2385,87,26.19,1764,133.46,0,17,245,117
Sachin Tendulkar,78,78,11,2334,100,34.33,1948,118.5,1,13,295,29
Sanju Samson,93,89,9,2209,102,27.42,1696,129.33,2,10,170,89
Rahul Dravid,89,82,5,2174,75,28.17,1882,116.85,0,11,269,28
Adam Gilchrist,80,80,4,2069,109,28.13,1495,137.35,2,11,239,92
JP Duminy,83,77,26,2029,78,42.68,1636,119.85,0,14,126,79
Steve Smith,81,72,18,2022,101,38.22,1568,130.51,1,8,180,49
Michael Hussey,59,58,7,1977,116,38.71,1612,119.41,1,15,198,52
KL Rahul,62,56,11,1957,100,40.41,1415,130.84,1,16,172,81
Ravindra Jadeja,170,128,48,1927,48,25.5,1572,124.25,0,0,135,65
David Miller,79,77,23,1850,101,34.6,1333,131.34,1,9,126,87
Faf du Plessis,69,63,5,1845,96,32.11,1455,126.82,0,12,162,59
Mahela Jayawardene,80,78,15,1802,110,29.82,1462,125.2,1,10,200,39
Wriddhiman Saha,116,94,21,1759,115,27.45,1332,134.06,1,6,160,59
Rishabh Pant,54,54,6,1736,128,35.26,1067,158.03,1,11,152,94
Aaron Finch,74,72,7,1716,88,23.56,1308,120.56,0,13,176,66
Kumar Sangakkara,71,68,3,1687,94,25.75,1392,120.35,0,10,195,27
Manoj Tiwary,96,84,26,1686,75,28.31,1436,116.1,0,7,155,40
Shreyas Iyer,62,62,7,1681,96,28.16,1324,117.95,0,13,149,67
Suryakumar Yadav,84,70,16,1548,72,27.25,1169,132.11,0,7,161,47
Naman Ojha,110,91,18,1544,94,22.08,1299,117.44,0,6,120,79
Mandeep Singh,93,82,15,1525,77,21.8,1215,123.25,0,5,159,33
Dwayne Bravo,128,100,37,1472,70,21.24,1150,140.53,0,5,115,60
Karun Nair,66,60,4,1450,83,26.37,1121,129.56,0,10,158,39
Quinton de Kock,47,47,2,1450,108,31.99,1094,133.84,1,10,154,54
Subramaniam Badrinath,95,67,20,1441,71,31.05,1212,118.39,0,11,154,28
Glenn Maxwell,67,66,6,1391,95,21.77,856,151.48,0,6,109,91
Brad Hodge,63,60,21,1388,73,34.51,1101,127.2,0,6,120,43
Andre Russell,59,48,10,1387,88,34.39,729,185.63,0,8,96,120
Jos Buttler,45,45,6,1386,95,36.01,919,149.8,0,9,140,61
Sourav Ganguly,59,56,3,1349,91,25.41,1263,101.25,0,7,137,42
David Hussey,64,61,12,1322,71,28.88,1075,123.69,0,5,90,60
Kane Williamson,41,41,7,1302,89,33.82,964,126.07,0,12,111,44
Saurabh Tiwary,81,64,19,1276,61,22.97,1067,118.87,0,7,93,45
Chris Lynn,40,40,3,1274,93,33.41,901,136.57,0,10,127,63
Mayank Agarwal,77,72,3,1266,68,16.36,988,120.94,0,5,117,52
Irfan Pathan,98,78,29,1126,60,23.58,930,118.43,0,1,87,37
Matthew Hayden,32,32,2,1107,93,45.54,805,137.7,0,8,121,44
Nitish Rana,46,41,4,1085,85,30.68,806,135.55,0,8,84,60
Lendl Simmons,28,28,2,1071,100,40.28,844,126.72,1,11,109,43
Hardik Pandya,66,61,24,1068,91,27.59,690,146.3,0,3,72,68
Kedar Jadhav,73,66,22,1061,69,17.59,830,127.57,0,4,91,38
Ross Taylor,55,54,14,1017,81,25.5,822,121.86,0,3,66,46
Manan Vohra,49,45,2,1012,95,22.42,768,126.97,0,3,97,39
Kevin Pietersen,36,36,9,1001,103,40.28,743,130.58,1,4,91,40
Venugopal Rao,64,54,10,985,71,21.57,836,110.4,0,3,77,37
Albie Morkel,91,68,28,974,73,28.23,686,141.59,0,3,61,55
Andrew Symonds,39,36,9,974,117,45.12,750,131.74,1,5,74,41
Moises Henriques,56,49,16,958,74,27.84,751,113.15,0,5,85,27
Cameron White,47,45,9,954,78,25.45,755,122.34,0,6,76,36
Krunal Pandya,55,48,14,891,86,28.41,610,148.52,0,1,86,35
Herschelle Gibbs,36,36,4,886,69,29.87,807,106.72,0,6,83,31
Stuart Binny,94,67,23,872,48,21.29,678,129.63,0,0,65,35
Eoin Morgan,52,45,5,854,66,19.83,705,117.91,0,4,72,34
Harbhajan Singh,149,87,35,828,64,17.09,597,135.53,0,1,79,42
Axar Patel,82,63,21,796,44,18.18,630,124.49,0,0,47,35
Manvinder Bisla,38,38,1,795,92,20.95,693,113.57,0,4,93,23
Sanath Jayasuriya,30,30,2,772,114,23.27,532,129.73,1,4,85,39
Rahul Tripathi,34,33,4,758,93,25.51,552,133.75,0,4,74,27
Shakib Al Hasan,62,45,10,745,66,18.23,588,122.33,0,2,70,20
Graeme Smith,29,29,3,739,91,25.19,668,103.78,0,4,94,9
Tillakaratne Dilshan,38,37,4,735,76,20.75,666,106.22,0,5,98,11
Sunil Narine,60,44,5,734,75,15.6,418,149.97,0,3,91,42
Angelo Mathews,49,42,11,724,65,21.43,575,124.67,0,1,44,29
Ishan Kishan,37,33,0,695,62,18.96,531,121.84,0,3,64,34
Abhishek Nayar,60,50,12,672,45,17.89,577,107.82,0,0,55,20
Tirumalasetti Suman,41,38,8,661,78,19.76,556,115.32,0,2,54,25
George Bailey,39,36,10,645,61,23.9,517,118.16,0,2,57,19
Ben Stokes,34,33,5,635,103,22.81,481,129.65,1,1,43,25
Jesse Ryder,29,29,1,604,86,19.75,458,127.75,0,4,69,19
Prithvi Shaw,25,25,0,598,99,24.64,424,143.42,0,4,72,19
Piyush Chawla,151,80,32,582,24,12.24,518,112.43,0,0,54,18
Hashim Amla,16,16,3,577,104,43.08,407,138.88,2,3,60,21
Vijay Shankar,32,29,11,557,63,41.28,416,134.77,0,2,34,24
Corey Anderson,30,29,7,538,95,23.34,423,114.16,0,3,40,31
Ravi Bopara,24,22,4,531,84,29.2,453,117.56,0,3,39,16
Deepak Hooda,61,45,9,524,54,17.09,412,127.38,0,1,27,24
James Faulkner,57,43,19,513,46,22.76,376,129.98,0,0,36,23
Chris Morris,45,33,16,503,82,37.03,312,154.26,0,2,37,27
Shubman Gill,27,24,9,499,76,33.36,377,135.2,0,4,43,15
Paul Valthaty,20,20,1,493,120,20.3,389,97.9,1,2,60,20
Marcus Stoinis,29,25,10,473,52,29.92,364,117.88,0,1,34,18
Owais Shah,18,18,7,455,76,47.64,351,126.93,0,4,31,21
Jonny Bairstow,10,10,2,445,114,55.62,283,157.24,1,2,48,18
Gurkeerat Mann Singh,31,27,3,440,65,20.88,342,128.04,0,2,47,11
Dan Christian,38,32,9,440,39,18.77,359,120.59,0,0,22,19
Evin Lewis,16,16,0,430,65,22.69,328,115.35,0,2,36,26
Mithun Manhas,41,30,10,426,42,24.54,391,118.8,0,0,35,9
James Hopes,21,19,3,417,71,29.65,306,136.68,0,4,49,11
Johan Botha,34,28,8,409,67,20.3,359,126.08,0,1,39,5
Swapnil Asnodkar,17,17,0,409,60,23.4,326,119.42,0,2,54,10
Sarfaraz Khan,33,23,8,408,67,28.99,286,154.87,0,1,45,11
Ashok Menaria,28,22,2,400,40,20.0,354,113.66,0,0,24,18
Thisara Perera,30,26,7,395,40,16.91,271,128.08,0,0,19,26
Laxmi Ratan Shukla,42,31,7,388,48,15.56,328,116.57,0,0,31,16
Azhar Mahmood,22,20,2,382,80,21.42,296,129.12,0,2,38,13
Mark Boucher,22,19,7,375,50,31.07,293,128.21,0,1,32,12
Cheteshwar Pujara,27,19,3,373,51,22.46,369,102.37,0,1,49,3
Sunny Sohal,19,18,0,364,62,19.63,284,127.01,0,2,34,18
Pawan Negi,45,33,9,362,36,16.25,284,116.87,0,0,27,16
Dwaraka Ravi Teja,28,21,5,357,60,21.99,296,117.62,0,1,34,9
Ravichandran Ashwin,102,44,15,347,45,12.89,303,115.78,0,0,29,10
Sam Billings,21,18,0,334,56,19.5,246,136.22,0,3,31,10
Praveen Kumar,98,52,18,331,34,9.34,296,107.36,0,0,23,17
Aditya Tare,32,26,4,331,59,13.17,258,114.9,0,1,39,11
Amit Mishra,87,42,19,329,31,17.44,334,101.11,0,0,28,5
James Franklin,20,16,5,327,79,38.97,301,117.91,0,1,25,8
Karn Sharma,55,33,13,316,39,11.45,271,121.1,0,0,18,14
Rajat Bhatia,71,37,16,309,26,16.65,243,128.84,0,0,20,13
Ryan ten Doeschate,26,19,7,305,70,28.79,214,143.65,0,1,25,14
Debabrata Das,31,22,8,304,35,24.72,261,115.47,0,0,23,16
Colin de Grandhomme,25,21,5,303,40,19.09,225,128.92,0,0,18,18
Luke Pomersbach,17,16,5,302,79,51.0,246,116.56,0,1,25,13
Vinay Kumar,80,38,13,300,26,18.49,263,112.61,0,0,20,9
Moeen Ali,16,14,2,297,66,23.38,179,166.4,0,3,20,23
Unmukt Chand,17,16,0,296,58,18.65,275,109.59,0,1,32,9
Darren Sammy,22,20,5,295,60,16.97,241,107.57,0,1,15,18
Shreevats Goswami,28,18,1,285,52,18.44,281,103.56,0,1,30,3
VVS Laxman,20,20,2,282,52,15.57,267,96.6,0,1,33,5
Ashish Reddy,31,24,9,280,36,19.35,193,145.47,0,0,16,15
Hanuma Vihari,22,21,3,280,46,13.48,313,99.06,0,0,23,1
Michael Lumb,11,11,0,278,83,25.27,192,144.79,0,1,45,6
Martin Guptill,13,13,1,270,50,22.67,196,135.49,0,1,24,15
Yogesh Nagar,24,18,6,263,43,23.12,233,112.64,0,0,19,9
Rajagopal Sathish,25,22,7,245,27,15.27,197,119.4,0,0,21,6
Mohammad Kaif,28,21,4,245,34,13.0,234,106.83,0,0,21,6
Bharat Chipli,19,17,6,244,61,19.1,205,113.74,0,1,24,6
Simon Katich,11,11,1,241,75,56.06,186,131.53,0,2,26,8
Ben Cutting,21,17,6,238,39,19.8,141,158.41,0,0,15,19
Mohnish Mishra,17,16,1,233,41,15.92,204,113.46,0,0,23,8
Mitchell Marsh,17,13,2,218,38,19.67,185,109.15,0,0,9,14
Travis Head,10,10,3,205,75,28.6,148,137.4,0,1,12,8
Paul Collingwood,8,7,2,203,75,40.6,156,130.12,0,3,9,13
Karan Goel,16,15,1,200,38,14.08,211,95.33,0,0,16,8
Stephen Fleming,10,10,1,196,45,21.77,164,119.51,0,0,27,3
Abhishek Raut,22,16,7,194,36,22.5,167,115.99,0,0,13,7
Salman Butt,7,7,0,193,73,27.57,161,119.87,0,1,30,2
Ben Rohrer,8,8,2,193,64,32.16,140,137.85,0,1,21,5
Colin Ingram,12,12,2,184,47,18.4,154,119.48,0,0,20,5
Abhishek Jhunjhunwala,13,11,2,183,53,20.33,166,110.24,0,1,16,4
Adam Voges,9,7,3,181,45,45.25,143,126.57,0,0,15,3
Jason Roy,8,8,2,179,91,29.75,134,137.57,0,1,18,8
Shane Warne,28,18,5,178,34,13.75,175,105.87,0,0,13,6
Bhuvneshwar Kumar,85,38,16,177,24,9.24,183,107.81,0,0,17,3
Colin Munro,13,12,0,177,40,14.53,141,124.55,0,0,19,8
Carlos Brathwaite,14,12,1,169,43,14.78,96,161.56,0,0,8,16
Nicholas Pooran,7,6,0,168,48,28.0,107,157.0,0,0,10,14
Chidhambaram Gautam,12,12,3,165,33,19.64,145,119.2,0,0,17,6
Faiz Fazal,10,9,1,164,45,20.5,154,106.49,0,0,19,1
Akshath Reddy,12,10,0,164,42,18.66,160,106.9,0,0,15,2
Mitchell Johnson,51,27,16,162,16,7.23,150,113.91,0,0,10,7
Riyan Parag,7,5,0,160,50,32.0,126,126.98,0,1,17,5
Ajit Agarkar,27,17,9,160,39,27.93,132,123.7,0,0,12,5
MF Maharoof,17,12,3,156,39,15.58,102,146.5,0,0,12,9
Ryan McLaren,16,11,5,156,51,26.0,165,94.7,0,1,14,1
Bipul Sharma,19,11,5,154,35,26.83,96,162.12,0,0,9,9
Marlon Samuels,13,12,1,153,46,12.48,154,97.18,0,0,8,7
Alex Hales,6,6,0,148,45,24.66,118,125.42,0,0,13,6
Shaun Pollock,13,8,0,147,33,18.37,111,132.43,0,0,12,8
Vidyut Sivaramakrishnan,9,8,0,145,54,18.12,109,133.02,0,1,21,3
Krishnappa Gowtham,22,17,5,144,33,10.0,83,145.8,0,0,10,10
Nitin Saini,10,10,0,140,50,14.0,141,99.29,0,1,16,0
Sachin Baby,14,9,1,134,33,14.4,94,125.32,0,0,11,5
Mohammad Nabi,10,9,1,133,31,14.08,88,150.66,0,0,11,7
Rishi Dhawan,20,13,9,132,25,19.67,114,150.58,0,0,10,4
Dale Steyn,49,20,10,131,19,15.71,110,122.13,0,0,12,2
Wasim Jaffer,8,8,0,130,50,13.33,121,99.4,0,1,14,3
Kamran Akmal,6,6,1,128,53,25.6,78,164.1,0,1,13,8
Usman Khawaja,6,6,0,127,30,21.16,100,127.0,0,0,14,3
Scott Styris,10,9,2,126,36,16.33,131,133.02,0,0,9,3
Manpreet Juneja,7,7,0,125,49,17.85,128,97.65,0,0,11,1
Dishant Yagnik,12,9,1,125,34,15.62,96,130.2,0,0,17,2
Shreyas Gopal,29,12,4,124,24,14.47,101,119.35,0,0,14,1
Biplap Samantray,8,7,2,123,55,24.6,111,110.81,0,1,13,2
David Wiese,14,7,3,122,47,30.5,86,141.86,0,0,12,4
Roelof van der Merwe,10,8,0,122,35,15.25,98,124.48,0,0,8,8
Niraj Patel,9,6,2,121,57,30.25,119,87.26,0,1,14,1
Aiden Blizzard,6,6,0,120,51,20.0,87,137.93,0,1,21,2
Misbah-ul-Haq,8,8,1,117,47,16.71,81,144.44,0,0,10,6
Kevon Cooper,25,14,5,116,32,13.92,68,172.42,0,0,9,8
D'Arcy Short,7,7,0,115,44,16.42,99,116.16,0,0,11,5
Andrew McDonald,8,6,4,112,33,11.75,87,129.64,0,0,9,4
Mohit Sharma,44,19,6,111,21,8.61,94,126.87,0,0,7,4
Rahul Tewatia,19,12,6,111,24,19.42,89,132.56,0,0,11,3
Daniel Harris,4,4,0,111,47,27.75,101,109.9,0,0,11,5
Paras Dogra,9,8,0,107,41,13.37,106,100.94,0,0,4,5
Luke Wright,6,6,1,106,44,21.2,60,176.66,0,0,16,3
Tim Southee,29,12,6,104,36,12.25,83,128.84,0,0,7,3
Yogesh Takawale,5,5,0,104,45,20.8,91,114.28,0,0,17,1
Rob Quiney,7,7,0,103,51,14.71,102,100.98,0,1,12,3
Michael Clarke,6,6,0,98,41,16.33,93,105.37,0,0,12,0
Callum Ferguson,9,8,2,98,23,18.25,117,84.12,0,0,9,0
Morne Morkel,21,11,4,97,23,15.7,54,178.28,0,0,9,5
Ryan Harris,29,17,7,97,17,12.82,96,103.84,0,0,5,2
Mitchell Starc,27,12,5,96,29,12.58,98,89.88,0,0,10,0
Sam Curran,9,8,4,95,55,23.75,55,172.72,0,1,13,3
Rashid Khan,32,15,5,93,34,9.3,54,169.07,0,0,5,8
Manpreet Gony,31,13,6,93,42,17.58,55,172.63,0,0,6,8
Harshal Patel,23,12,4,92,36,23.43,52,175.28,0,0,2,9
Umesh Yadav,39,19,15,92,24,26.5,77,135.71,0,0,11,3
Davy Jacobs,6,6,0,92,32,15.33,88,104.54,0,0,10,4
Ricky Ponting,10,9,0,91,28,10.07,128,71.46,0,0,5,2
Shimron Hetmyer,5,5,0,90,75,18.0,73,123.28,0,1,4,7
Jacob Oram,11,8,2,88,41,14.66,93,94.62,0,0,5,4
Anustup Majumdar,4,4,0,87,31,21.75,76,114.47,0,0,7,2
Pinal Shah,14,9,2,87,29,13.08,86,100.53,0,0,8,2
Andrew Tye,20,11,3,85,25,15.92,68,130.44,0,0,6,4
Richard Levi,6,6,0,83,50,13.83,73,113.69,0,1,10,4
Srikkanth Anirudha,9,5,1,83,64,20.75,74,112.16,0,1,6,3
Jofra Archer,21,13,6,82,27,18.25,61,119.46,0,0,6,4
Akshdeep Nath,12,8,0,81,24,9.43,84,90.54,0,0,6,2
Lee Carseldine,5,5,1,81,39,20.25,68,119.11,0,0,11,0
Shahid Afridi,10,9,1,81,33,10.12,46,176.08,0,0,7,6
Pat Cummins,12,9,4,77,24,15.4,53,145.28,0,0,5,4
Travis Birt,5,5,0,75,27,15.0,58,129.31,0,0,9,2
Mitchell McClenaghan,45,19,8,74,20,8.0,60,134.97,0,0,4,6
Ramnaresh Sarwan,4,4,0,73,31,18.25,75,97.33,0,0,6,1
Sachin Rana,9,7,4,73,19,24.33,65,112.3,0,0,7,1
Michael Klinger,4,4,0,73,29,18.25,77,94.8,0,0,9,0
Murali Kartik,26,7,2,73,21,7.0,69,105.37,0,0,5,0
Sherfane Rutherford,7,7,2,73,28,14.6,54,135.18,0,0,2,7
Liam Livingstone,4,4,1,71,44,23.66,48,147.91,0,0,6,5
Brett Lee,15,7,3,70,25,17.5,54,146.18,0,0,4,5
Kagiso Rabada,18,7,1,69,44,11.5,79,89.63,0,0,5,2
Azhar Bilakhia,6,6,2,67,22,16.75,81,82.71,0,0,5,0
Rinku Singh,9,7,1,66,30,12.88,65,101.18,0,0,5,2
Siddharth Chitnis,6,4,1,66,38,22.0,62,106.45,0,0,7,1
Zaheer Khan,31,16,10,66,23,13.5,63,125.98,0,0,7,2
Washington Sundar,7,6,3,65,35,21.66,38,171.05,0,0,5,4
Daniel Vettori,12,9,4,64,20,20.38,53,120.72,0,0,7,1
Deepak Chahar,15,5,1,64,39,15.33,35,202.87,0,0,1,6
Anirudh Singh,5,4,0,63,40,15.75,66,95.45,0,0,6,1
Chris Woakes,18,11,5,63,18,10.0,66,93.67,0,0,5,2
Balachandra Akhil,13,10,5,63,27,11.92,46,130.85,0,0,5,4
Abhishek Sharma,3,3,2,63,46,63.0,33,190.9,0,0,3,5
Andrew Flintoff,3,3,1,62,24,31.0,53,116.98,0,0,5,2
Ishank Jaggi,4,4,1,61,28,23.5,76,80.14,0,0,6,0
Chaminda Vaas,8,7,2,60,20,18.75,55,115.54,0,0,2,2
Ankit Sharma,4,3,0,59,30,21.0,45,140.0,0,0,6,2
Dhawal Kulkarni,22,7,5,58,28,5.75,40,146.67,0,0,3,2
Iqbal Abdulla,13,4,2,57,33,5.0,45,124.07,0,0,8,1
Heinrich Klaasen,4,4,1,57,32,19.0,47,121.27,0,0,5,1
Wilkin Mota,12,8,2,56,25,16.0,75,79.4,0,0,2,0
Lasith Malinga,14,6,0,55,17,9.16,53,103.77,0,0,4,3
Aakash Chopra,7,6,0,53,24,9.7,71,69.32,0,0,7,0
Rilee Rossouw,5,5,0,53,24,10.0,51,117.56,0,0,3,3
Shoaib Malik,7,5,1,52,24,13.0,47,110.63,0,0,5,0
Ramesh Powar,14,5,4,51,28,11.5,43,118.94,0,0,6,1
Ravi Rampaul,12,7,2,51,23,11.25,50,101.35,0,0,3,2
Mahesh Rawat,16,10,6,50,23,4.25,58,85.69,0,0,4,1
Amit Paunikar,4,4,0,49,20,12.25,57,85.96,0,0,9,0
Jaydev Unadkat,15,7,3,49,26,12.25,38,128.94,0,0,6,1
Arjun Yadav,8,6,1,49,16,9.8,39,125.64,0,0,5,2
Jagadeesha Suchith,13,6,5,48,34,48.0,32,150.0,0,0,4,2
Yashpal Singh,8,4,0,47,20,11.75,66,71.21,0,0,5,0
Sanjay Bangar,11,7,1,47,17,7.83,49,95.91,0,0,1,3
Raiphi Gomez,11,8,3,46,26,9.2,50,92.0,0,0,4,1
Sunny Singh,6,5,1,43,20,10.75,31,138.7,0,0,6,1
Adrian Barath,3,3,1,42,33,21.0,42,100.0,0,0,5,1
Jimmy Neesham,4,3,0,42,22,14.0,46,91.3,0,0,3,1
Ishant Sharma,35,9,5,42,10,5.33,29,193.16,0,0,3,3
Arun Karthik,12,5,2,41,19,13.66,38,107.89,0,0,3,1
Shivam Dube,4,4,1,40,24,13.33,33,121.21,0,0,1,3
LPC Silva,3,3,1,40,23,20.0,26,153.84,0,0,5,1
Ben Dunk,3,3,0,40,20,13.33,35,114.28,0,0,7,0
Dimitri Mascarenhas,5,4,0,39,27,9.75,39,100.0,0,0,4,0
Dominic Thornely,6,4,2,39,30,19.5,53,73.58,0,0,2,2
Umar Gul,6,4,1,39,24,13.0,19,205.26,0,0,1,5
Jason Holder,5,5,0,38,16,10.75,31,124.56,0,0,4,2
Sheldon Jackson,4,3,1,38,16,19.0,31,122.58,0,0,5,0
Wayne Parnell,8,5,2,37,16,12.33,39,94.87,0,0,2,1
Mohammad Shami,8,6,2,36,21,9.0,24,150.0,0,0,4,2
Sohail Tanvir,11,5,2,36,13,12.0,29,124.13,0,0,3,1
Bodapati Sumanth,5,4,3,35,16,35.0,37,94.59,0,0,3,0
Varun Aaron,10,3,3,35,17,0.0,34,102.94,0,0,2,1
Aditya Dole,3,2,0,34,30,17.0,22,154.54,0,0,3,1
Nathan Coulter-Nile,19,8,1,34,6,4.83,30,113.88,0,0,2,3
Luke Ronchi,4,4,0,34,13,8.5,32,106.25,0,0,6,1
Dinesh Salunkhe,6,3,1,33,26,16.5,24,137.5,0,0,5,0
Asad Pathan,6,5,1,33,14,8.25,16,206.25,0,0,5,2
Munaf Patel,11,5,2,33,23,11.0,26,126.92,0,0,5,0
Anureet Singh,15,7,3,33,15,10.5,43,91.53,0,0,2,1
Sreenath Aravind,10,8,4,32,9,8.0,40,80.0,0,0,2,0
Kuldeep Yadav,21,6,2,32,16,8.0,30,120.45,0,0,3,0
Robin Peterson,5,5,2,32,16,10.66,30,106.66,0,0,3,1
Mitchell Santner,4,2,1,32,22,32.0,23,139.13,0,0,0,3
Tatenda Taibu,3,3,0,31,15,10.33,26,119.23,0,0,3,0
Shardul Thakur,23,4,2,29,15,3.5,12,250.0,0,0,4,1
Vijay Zol,3,2,0,29,16,14.5,26,111.53,0,0,3,1
Rahul Sharma,6,4,1,29,14,9.66,26,111.53,0,0,3,1
Basil Thampi,12,5,5,28,13,0.0,28,100.0,0,0,1,1
Sridharan Sriram,1,1,0,27,27,27.0,29,93.1,0,0,3,0
Shanthakumaran Sreesanth,6,3,3,27,15,0.0,21,128.57,0,0,5,0
RP Singh,14,9,5,27,10,6.75,24,112.5,0,0,2,1
Abhimanyu Mithun,12,6,3,27,11,9.0,20,135.0,0,0,3,1
JM Kemp,5,2,0,26,22,13.0,24,108.33,0,0,1,1
Mohammed Siraj,11,4,2,25,14,12.5,22,113.63,0,0,2,1
Aniket Choudhary,5,3,2,25,15,25.0,20,125.0,0,0,1,1
Shivnarine Chanderpaul,3,3,0,25,16,8.33,31,80.64,0,0,4,0
Musavir Khote,4,3,1,24,9,12.0,22,109.09,0,0,2,1
Eklavya Dwivedi,4,2,0,24,19,12.0,14,171.42,0,0,2,2
Tom Curran,5,4,1,23,18,7.66,28,82.14,0,0,3,0
Nikhil Naik,2,2,0,23,22,11.5,31,74.19,0,0,1,0
Ashish Nehra,4,2,1,23,22,23.0,20,115.0,0,0,2,1
Jagadeesh Arunkumar,3,3,0,23,22,7.66,23,100.0,0,0,5,0
Mayank Markande,14,6,4,21,7,10.5,24,87.5,0,0,2,0
Harpreet Brar,2,1,1,20,20,0.0,12,166.66,0,0,2,1
Shadab Jakati,9,2,1,20,13,20.0,15,133.33,0,0,3,0
Joginder Sharma,4,2,1,20,16,20.0,18,111.11,0,0,0,1
Mahipal Lomror,2,2,1,20,11,20.0,21,95.23,0,0,1,0
Pradeep Sahu,5,2,1,19,18,19.0,13,146.15,0,0,1,1
Prayas Ray Barman,1,1,0,19,19,19.0,24,79.16,0,0,2,0
Vishnu Vinod,3,3,0,19,9,6.33,26,73.07,0,0,1,1
Rajesh Bishnoi,3,3,0,19,18,6.33,17,111.76,0,0,1,2
Rahul Shukla,3,3,2,18,14,18.0,21,85.71,0,0,2,0
Keemo Paul,8,6,1,18,7,3.6,24,75.0,0,0,1,1
Anil Kumble,16,7,6,16,7,16.0,19,84.21,0,0,2,0
Nic Maddinson,2,2,0,16,12,8.0,14,114.28,0,0,3,0
Jasprit Bumrah,16,2,1,16,16,16.0,12,133.33,0,0,0,1
Simran Singh,1,1,0,16,16,16.0,17,94.11,0,0,1,1
Graham Napier,1,1,0,15,15,15.0,16,93.75,0,0,1,0
Alzarri Joseph,3,2,2,15,15,0.0,13,115.38,0,0,2,0
Sean Abbott,2,2,0,15,14,7.5,13,115.38,0,0,1,1
Siddhesh Lad,1,1,0,15,15,15.0,13,115.38,0,0,1,1
Farhaan Behardien,3,3,1,14,9,7.0,13,107.69,0,0,2,0
Shivam Mavi,9,4,1,13,7,4.33,15,86.66,0,0,1,0
Rahul Chahar,13,4,2,12,10,6.0,11,109.09,0,0,2,0
Rohan Raje,4,2,1,12,11,12.0,9,133.33,0,0,0,1
Karanveer Singh,4,3,2,11,5,11.0,16,68.75,0,0,1,0
Tyron Henderson,2,2,0,11,11,5.5,16,68.75,0,0,0,1
Abu Nechim,3,3,2,10,5,10.0,5,200.0,0,0,2,0
Imran Tahir,6,2,0,8,4,4.0,10,80.0,0,0,2,0
