Date,Ground / Location,Match Number,Team A,Team B,winner,Wins By Runs,Wins By Wickets,Season
2013-04-14,Kolkata,17th Match, Kolkata Knight Riders , Sunrisers Hyderabad,Kolkata Knight Riders,48,0,2013
2013-04-14,Jaipur,18th Match, Rajasthan Royals , Kings XI Punjab,Rajasthan Royals,0,6,2013
2013-04-15,Chennai,19th Match, Chennai Super Kings , Pune Warriors,Pune Warriors,24,0,2013
2013-04-16,"Mohali, Chandigarh",20th Match, Kings XI Punjab , Kolkata Knight Riders,Kings XI Punjab,4,0,2013
2013-04-16,"Bengaluru, Bangalore",21st Match, Royal Challengers Bangalore , Delhi Capitals,Royal Challengers Bangalore,0,0,2013
2013-04-17,Pune,22nd Match, Pune Warriors , Sunrisers Hyderabad,Sunrisers Hyderabad,11,0,2013
2013-04-17,Jaipur,23rd Match, Rajasthan Royals , Mumbai Indians,Rajasthan Royals,87,0,2013
2013-04-18,Delhi,24th Match, Chennai Super Kings , Delhi Capitals,Chennai Super Kings,86,0,2013
2013-04-19,Hyderabad,25th Match, Sunrisers Hyderabad , Kings XI Punjab,Sunrisers Hyderabad,0,5,2013
2013-04-20,Kolkata,26th Match, Kolkata Knight Riders , Chennai Super Kings,Chennai Super Kings,0,4,2013
2013-04-20,"Bengaluru, Bangalore",27th Match, Royal Challengers Bangalore , Rajasthan Royals,Royal Challengers Bangalore,0,7,2013
2013-04-21,Delhi,28th Match, Delhi Capitals , Mumbai Indians,Delhi Capitals,0,9,2013
2013-04-21,"Mohali, Chandigarh",29th Match, Kings XI Punjab , Pune Warriors,Kings XI Punjab,0,7,2013
2013-04-22,Chennai,30th Match, Chennai Super Kings , Rajasthan Royals,Chennai Super Kings,0,5,2013
2013-04-23,"Bengaluru, Bangalore",31st Match, Royal Challengers Bangalore , Pune Warriors,Royal Challengers Bangalore,130,0,2013
2013-04-23,Delhi,32nd Match, Delhi Capitals , Kings XI Punjab,Kings XI Punjab,0,5,2013
2013-04-24,Kolkata,33rd Match, Kolkata Knight Riders , Mumbai Indians,Mumbai Indians,0,5,2013
2013-04-25,Chennai,34th Match, Chennai Super Kings , Sunrisers Hyderabad,Chennai Super Kings,0,5,2013
2013-04-26,Kolkata,35th Match, Kolkata Knight Riders , Kings XI Punjab,Kolkata Knight Riders,0,6,2013
2013-04-27,Jaipur,36th Match, Sunrisers Hyderabad , Rajasthan Royals,Rajasthan Royals,0,8,2013
2013-04-27,Mumbai,37th Match, Mumbai Indians , Royal Challengers Bangalore,Mumbai Indians,58,0,2013
2013-04-28,Chennai,38th Match, Chennai Super Kings , Kolkata Knight Riders,Chennai Super Kings,14,0,2013
2013-04-28,Raipur,39th Match, Delhi Capitals , Pune Warriors,Delhi Capitals,15,0,2013
2013-04-29,Jaipur,40th Match, Rajasthan Royals , Royal Challengers Bangalore,Rajasthan Royals,0,4,2013
2013-04-29,Mumbai,41st Match, Mumbai Indians , Kings XI Punjab,Mumbai Indians,4,0,2013
2013-04-30,Pune,42nd Match, Chennai Super Kings , Pune Warriors,Chennai Super Kings,37,0,2013
2013-01-05,Hyderabad,43rd Match, Mumbai Indians , Sunrisers Hyderabad,Sunrisers Hyderabad,0,7,2013
2013-01-05,Raipur,44th Match, Delhi Capitals , Kolkata Knight Riders,Delhi Capitals,0,7,2013
2013-02-05,Chennai,45th Match, Chennai Super Kings , Kings XI Punjab,Chennai Super Kings,15,0,2013
2013-02-05,Pune,46th Match, Pune Warriors , Royal Challengers Bangalore,Royal Challengers Bangalore,17,0,2013
2013-03-05,Kolkata,47th Match, Kolkata Knight Riders , Rajasthan Royals,Kolkata Knight Riders,0,8,2013
2013-04-05,Hyderabad,48th Match, Sunrisers Hyderabad , Delhi Capitals,Sunrisers Hyderabad,0,6,2013
2013-05-05,Mumbai,49th Match, Mumbai Indians , Chennai Super Kings,Mumbai Indians,60,0,2013
2013-05-05,Jaipur,50th Match, Rajasthan Royals , Pune Warriors,Rajasthan Royals,0,5,2013
2013-06-05,"Mohali, Chandigarh",51st Match, Kings XI Punjab , Royal Challengers Bangalore,Kings XI Punjab,0,6,2013
2013-07-05,Jaipur,52nd Match, Rajasthan Royals , Delhi Capitals,Rajasthan Royals,0,9,2013
2013-07-05,Mumbai,53rd Match, Mumbai Indians , Kolkata Knight Riders,Mumbai Indians,65,0,2013
2013-08-05,Hyderabad,54th Match, Sunrisers Hyderabad , Chennai Super Kings,Chennai Super Kings,77,0,2013
2013-09-05,"Mohali, Chandigarh",55th Match, Kings XI Punjab , Rajasthan Royals,Rajasthan Royals,0,8,2013
2013-09-05,Pune,56th Match, Pune Warriors , Kolkata Knight Riders,Kolkata Knight Riders,46,0,2013
2013-10-05,Delhi,57th Match, Royal Challengers Bangalore , Delhi Capitals,Royal Challengers Bangalore,4,0,2013
2013-11-05,Pune,58th Match, Pune Warriors , Mumbai Indians,Mumbai Indians,0,5,2013
2013-11-05,"Mohali, Chandigarh",59th Match, Kings XI Punjab , Sunrisers Hyderabad,Sunrisers Hyderabad,30,0,2013
2013-12-05,Ranchi,60th Match, Kolkata Knight Riders , Royal Challengers Bangalore,Kolkata Knight Riders,0,5,2013
2013-12-05,Jaipur,61st Match, Rajasthan Royals , Chennai Super Kings,Rajasthan Royals,0,5,2013
2013-05-13,Mumbai,62nd Match, Mumbai Indians , Sunrisers Hyderabad,Mumbai Indians,0,7,2013
2013-05-14,"Bengaluru, Bangalore",63rd Match, Royal Challengers Bangalore , Kings XI Punjab,Kings XI Punjab,0,7,2013
2013-05-14,Chennai,64th Match, Chennai Super Kings , Delhi Capitals,Chennai Super Kings,33,0,2013
2013-05-15,Ranchi,65th Match, Kolkata Knight Riders , Pune Warriors,Pune Warriors,7,0,2013
2013-05-15,Mumbai,66th Match, Mumbai Indians , Rajasthan Royals,Mumbai Indians,14,0,2013
2013-05-16,Dharamsala,67th Match, Kings XI Punjab , Delhi Capitals,Kings XI Punjab,7,0,2013
2013-05-17,Hyderabad,68th Match, Sunrisers Hyderabad , Rajasthan Royals,Sunrisers Hyderabad,23,0,2013
2013-05-18,Dharamsala,69th Match, Kings XI Punjab , Mumbai Indians,Kings XI Punjab,50,0,2013
2013-05-18,"Bengaluru, Bangalore",70th Match, Royal Challengers Bangalore , Chennai Super Kings,Royal Challengers Bangalore,24,0,2013
2013-05-19,Pune,71st Match, Pune Warriors , Delhi Capitals,Pune Warriors,38,0,2013
2013-05-19,Hyderabad,72nd Match, Sunrisers Hyderabad , Kolkata Knight Riders,Sunrisers Hyderabad,0,5,2013
2013-05-21,Delhi,1st Qualifying Final, Chennai Super Kings , Mumbai Indians,Chennai Super Kings,48,0,2013
2013-05-22,Delhi,Elimination Final, Rajasthan Royals , Sunrisers Hyderabad,Rajasthan Royals,0,4,2013
2013-05-24,Kolkata,2nd Qualifying Final, Mumbai Indians , Rajasthan Royals,Mumbai Indians,0,4,2013
2013-05-26,Kolkata,Final, Chennai Super Kings , Mumbai Indians,Mumbai Indians,23,0,2013
2012-04-04,Chennai,1st Match, Chennai Super Kings , Mumbai Indians,Mumbai Indians,0,8,2012
2012-05-04,Kolkata,2nd Match, Kolkata Knight Riders , Delhi Capitals,Delhi Capitals,0,8,2012
2012-06-04,Mumbai,3rd Match, Mumbai Indians , Pune Warriors,Pune Warriors,28,0,2012
2012-06-04,Jaipur,4th Match, Rajasthan Royals , Kings XI Punjab,Rajasthan Royals,31,0,2012
2012-07-04,"Bengaluru, Bangalore",5th Match, Royal Challengers Bangalore , Delhi Capitals,Royal Challengers Bangalore,20,0,2012
2012-07-04,Visakhapatnam,6th Match, Deccan Chargers , Chennai Super Kings,Chennai Super Kings,74,0,2012
2012-08-04,Jaipur,7th Match, Rajasthan Royals , Kolkata Knight Riders,Rajasthan Royals,22,0,2012
2012-08-04,Pune,8th Match, Pune Warriors , Kings XI Punjab,Pune Warriors,22,0,2012
2012-09-04,Visakhapatnam,9th Match, Deccan Chargers , Mumbai Indians,Mumbai Indians,0,5,2012
2012-10-04,"Bengaluru, Bangalore",10th Match, Royal Challengers Bangalore , Kolkata Knight Riders,Kolkata Knight Riders,42,0,2012
2012-10-04,Delhi,11th Match, Delhi Capitals , Chennai Super Kings,Delhi Capitals,0,8,2012
2012-11-04,Mumbai,12th Match, Mumbai Indians , Rajasthan Royals,Mumbai Indians,27,0,2012
2012-12-04,Chennai,13th Match, Chennai Super Kings , Royal Challengers Bangalore,Chennai Super Kings,0,5,2012
2012-12-04,"Mohali, Chandigarh",14th Match, Kings XI Punjab , Pune Warriors,Kings XI Punjab,0,7,2012
2012-04-13,Kolkata,15th Match, Kolkata Knight Riders , Rajasthan Royals,Kolkata Knight Riders,0,5,2012
2012-04-14,Pune,16th Match, Pune Warriors , Chennai Super Kings,Pune Warriors,0,7,2012
2012-04-15,Kolkata,17th Match, Kolkata Knight Riders , Kings XI Punjab,Kings XI Punjab,2,0,2012
2012-04-15,"Bengaluru, Bangalore",18th Match, Royal Challengers Bangalore , Rajasthan Royals,Rajasthan Royals,59,0,2012
2012-04-16,Mumbai,19th Match, Mumbai Indians , Delhi Capitals,Delhi Capitals,0,7,2012
2012-04-17,Jaipur,20th Match, Rajasthan Royals , Deccan Chargers,Rajasthan Royals,0,5,2012
2012-04-17,"Bengaluru, Bangalore",21st Match, Royal Challengers Bangalore , Pune Warriors,Royal Challengers Bangalore,0,6,2012
2012-04-18,"Mohali, Chandigarh",22nd Match, Kings XI Punjab , Kolkata Knight Riders,Kolkata Knight Riders,0,8,2012
2012-04-19,Delhi,23rd Match, Delhi Capitals , Deccan Chargers,Delhi Capitals,0,5,2012
2012-04-19,Chennai,24th Match, Chennai Super Kings , Pune Warriors,Chennai Super Kings,13,0,2012
2012-04-20,"Mohali, Chandigarh",25th Match, Kings XI Punjab , Royal Challengers Bangalore,Royal Challengers Bangalore,0,5,2012
2012-04-21,Chennai,26th Match, Chennai Super Kings , Rajasthan Royals,Chennai Super Kings,0,7,2012
2012-04-21,Delhi,27th Match, Delhi Capitals , Pune Warriors,Pune Warriors,20,0,2012
2012-04-22,Mumbai,28th Match, Mumbai Indians , Kings XI Punjab,Kings XI Punjab,0,6,2012
2012-04-22,Cuttack,29th Match, Deccan Chargers , Kolkata Knight Riders,Kolkata Knight Riders,0,5,2012
2012-04-23,Jaipur,30th Match, Rajasthan Royals , Royal Challengers Bangalore,Royal Challengers Bangalore,46,0,2012
2012-04-24,Pune,31st Match, Pune Warriors , Delhi Capitals,Delhi Capitals,0,8,2012
2012-04-24,Kolkata,32nd Match, Kolkata Knight Riders , Deccan Chargers,Match abandoned,0,0,2012
2012-04-25,"Mohali, Chandigarh",33rd Match, Kings XI Punjab , Mumbai Indians,Mumbai Indians,0,4,2012
2012-04-25,"Bengaluru, Bangalore",34th Match, Royal Challengers Bangalore , Chennai Super Kings,No result,0,0,2012
2012-04-26,Pune,35th Match, Pune Warriors , Deccan Chargers,Deccan Chargers,18,0,2012
2012-04-27,Delhi,36th Match, Delhi Capitals , Mumbai Indians,Delhi Capitals,37,0,2012
2012-04-28,Chennai,37th Match, Chennai Super Kings , Kings XI Punjab,Kings XI Punjab,7,0,2012
2012-04-28,Kolkata,38th Match, Kolkata Knight Riders , Royal Challengers Bangalore,Kolkata Knight Riders,47,0,2012
2012-04-29,Delhi,39th Match, Delhi Capitals , Rajasthan Royals,Delhi Capitals,1,0,2012
2012-04-29,Mumbai,40th Match, Mumbai Indians , Deccan Chargers,Mumbai Indians,0,5,2012
2012-04-30,Chennai,41st Match, Chennai Super Kings , Kolkata Knight Riders,Kolkata Knight Riders,0,5,2012
2012-01-05,Cuttack,42nd Match, Deccan Chargers , Pune Warriors,Deccan Chargers,13,0,2012
2012-01-05,Jaipur,43rd Match, Rajasthan Royals , Delhi Capitals,Delhi Capitals,0,6,2012
2012-02-05,"Bengaluru, Bangalore",44th Match, Royal Challengers Bangalore , Kings XI Punjab,Kings XI Punjab,0,4,2012
2012-03-05,Pune,45th Match, Pune Warriors , Mumbai Indians,Mumbai Indians,1,0,2012
2012-04-05,Chennai,46th Match, Chennai Super Kings , Deccan Chargers,Chennai Super Kings,10,0,2012
2012-05-05,Kolkata,47th Match, Kolkata Knight Riders , Pune Warriors,Kolkata Knight Riders,7,0,2012
2012-05-05,"Mohali, Chandigarh",48th Match, Kings XI Punjab , Rajasthan Royals,Rajasthan Royals,43,0,2012
2012-06-05,Mumbai,49th Match, Mumbai Indians , Chennai Super Kings,Mumbai Indians,0,2,2012
2012-06-05,"Bengaluru, Bangalore",50th Match, Royal Challengers Bangalore , Deccan Chargers,Royal Challengers Bangalore,0,5,2012
2012-07-05,Delhi,51st Match, Delhi Capitals , Kolkata Knight Riders,Kolkata Knight Riders,0,6,2012
2012-08-05,Pune,52nd Match, Pune Warriors , Rajasthan Royals,Rajasthan Royals,0,7,2012
2012-08-05,Hyderabad,53rd Match, Deccan Chargers , Kings XI Punjab,Kings XI Punjab,25,0,2012
2012-09-05,Mumbai,54th Match, Mumbai Indians , Royal Challengers Bangalore,Royal Challengers Bangalore,0,9,2012
2012-10-05,Hyderabad,55th Match, Deccan Chargers , Delhi Capitals,Delhi Capitals,0,9,2012
2012-10-05,Jaipur,56th Match, Rajasthan Royals , Chennai Super Kings,Chennai Super Kings,0,4,2012
2012-11-05,Pune,57th Match, Pune Warriors , Royal Challengers Bangalore,Royal Challengers Bangalore,35,0,2012
2012-12-05,Kolkata,58th Match, Kolkata Knight Riders , Mumbai Indians,Mumbai Indians,27,0,2012
2012-12-05,Chennai,59th Match, Chennai Super Kings , Delhi Capitals,Chennai Super Kings,0,9,2012
2012-05-13,Jaipur,60th Match, Rajasthan Royals , Pune Warriors,Rajasthan Royals,45,0,2012
2012-05-13,"Mohali, Chandigarh",61st Match, Kings XI Punjab , Deccan Chargers,Kings XI Punjab,0,4,2012
2012-05-14,"Bengaluru, Bangalore",62nd Match, Royal Challengers Bangalore , Mumbai Indians,Mumbai Indians,0,5,2012
2012-05-14,Kolkata,63rd Match, Kolkata Knight Riders , Chennai Super Kings,Chennai Super Kings,0,5,2012
2012-05-15,Delhi,64th Match, Delhi Capitals , Kings XI Punjab,Delhi Capitals,0,5,2012
2012-05-16,Mumbai,65th Match, Mumbai Indians , Kolkata Knight Riders,Kolkata Knight Riders,32,0,2012
2012-05-17,Dharamsala,66th Match, Kings XI Punjab , Chennai Super Kings,Kings XI Punjab,0,6,2012
2012-05-17,Delhi,67th Match, Delhi Capitals , Royal Challengers Bangalore,Royal Challengers Bangalore,21,0,2012
2012-05-18,Hyderabad,68th Match, Deccan Chargers , Rajasthan Royals,Deccan Chargers,0,5,2012
2012-05-19,Dharamsala,69th Match, Kings XI Punjab , Delhi Capitals,Delhi Capitals,0,6,2012
2012-05-19,Pune,70th Match, Pune Warriors , Kolkata Knight Riders,Kolkata Knight Riders,34,0,2012
2012-05-20,Hyderabad,71st Match, Deccan Chargers , Royal Challengers Bangalore,Deccan Chargers,9,0,2012
2012-05-20,Jaipur,72nd Match, Rajasthan Royals , Mumbai Indians,Mumbai Indians,0,10,2012
2012-05-22,Pune,1st Qualifying Final, Delhi Capitals , Kolkata Knight Riders,Kolkata Knight Riders,18,0,2012
2012-05-23,"Bengaluru, Bangalore",Elimination Final, Chennai Super Kings , Mumbai Indians,Chennai Super Kings,3,0,2012
2012-05-25,Chennai,2nd Qualifying Final, Delhi Capitals , Chennai Super Kings,Chennai Super Kings,86,0,2012
2012-05-27,Chennai,Final, Kolkata Knight Riders , Chennai Super Kings,Kolkata Knight Riders,0,5,2012
2011-08-04,Chennai,1st Match, Chennai Super Kings , Kolkata Knight Riders,Chennai Super Kings,2,0,2011
2011-09-04,Hyderabad,2nd Match, Deccan Chargers , Rajasthan Royals,Rajasthan Royals,0,8,2011
2011-09-04,Kochi,3rd Match, Kochi Tuskers Kerala , Royal Challengers Bangalore,Royal Challengers Bangalore,0,6,2011
2011-10-04,Delhi,4th Match, Delhi Capitals , Mumbai Indians,Mumbai Indians,0,8,2011
2011-10-04,Mumbai,5th Match, Pune Warriors , Kings XI Punjab,Pune Warriors,0,7,2011
2011-11-04,Kolkata,6th Match, Kolkata Knight Riders , Deccan Chargers,Kolkata Knight Riders,9,0,2011
2011-12-04,Jaipur,7th Match, Rajasthan Royals , Delhi Capitals,Rajasthan Royals,0,6,2011
2011-12-04,"Bengaluru, Bangalore",8th Match, Royal Challengers Bangalore , Mumbai Indians,Mumbai Indians,0,9,2011
2011-04-13,Mumbai,10th Match, Pune Warriors , Kochi Tuskers Kerala,Pune Warriors,0,4,2011
2011-04-13,"Mohali, Chandigarh",9th Match, Kings XI Punjab , Chennai Super Kings,Kings XI Punjab,0,6,2011
2011-04-14,Hyderabad,11th Match, Deccan Chargers , Royal Challengers Bangalore,Deccan Chargers,33,0,2011
2011-04-15,Jaipur,12th Match, Rajasthan Royals , Kolkata Knight Riders,Kolkata Knight Riders,0,9,2011
2011-04-15,Cuttack,13th Match, Mumbai Indians , Kochi Tuskers Kerala,Kochi Tuskers Kerala,0,8,2011
2011-04-16,Chennai,14th Match, Chennai Super Kings , Royal Challengers Bangalore,Chennai Super Kings,21,0,2011
2011-04-16,Hyderabad,15th Match, Deccan Chargers , Kings XI Punjab,Kings XI Punjab,0,8,2011
2011-04-17,Mumbai,16th Match, Pune Warriors , Delhi Capitals,Delhi Capitals,0,3,2011
2011-04-17,Kolkata,17th Match, Kolkata Knight Riders , Rajasthan Royals,Kolkata Knight Riders,0,8,2011
2011-04-18,Kochi,18th Match, Kochi Tuskers Kerala , Chennai Super Kings,Kochi Tuskers Kerala,0,7,2011
2011-04-19,Delhi,19th Match, Delhi Capitals , Deccan Chargers,Deccan Chargers,16,0,2011
2011-04-19,"Bengaluru, Bangalore",20th Match, Royal Challengers Bangalore , Rajasthan Royals,Match abandoned,0,0,2011
2011-04-20,Mumbai,21st Match, Mumbai Indians , Pune Warriors,Mumbai Indians,0,7,2011
2011-04-20,Kolkata,22nd Match, Kolkata Knight Riders , Kochi Tuskers Kerala,Kochi Tuskers Kerala,6,0,2011
2011-04-21,"Mohali, Chandigarh",23rd Match, Kings XI Punjab , Rajasthan Royals,Kings XI Punjab,48,0,2011
2011-04-22,Kolkata,24th Match, Kolkata Knight Riders , Royal Challengers Bangalore,Royal Challengers Bangalore,0,9,2011
2011-04-22,Mumbai,25th Match, Mumbai Indians , Chennai Super Kings,Mumbai Indians,8,0,2011
2011-04-23,Delhi,26th Match, Delhi Capitals , Kings XI Punjab,Delhi Capitals,29,0,2011
2011-04-24,Hyderabad,27th Match, Deccan Chargers , Mumbai Indians,Mumbai Indians,37,0,2011
2011-04-24,Jaipur,28th Match, Rajasthan Royals , Kochi Tuskers Kerala,Rajasthan Royals,0,8,2011
2011-04-25,Chennai,29th Match, Chennai Super Kings , Pune Warriors,Chennai Super Kings,25,0,2011
2011-04-26,Delhi,30th Match, Delhi Capitals , Royal Challengers Bangalore,Royal Challengers Bangalore,0,3,2011
2011-04-27,Mumbai,31st Match, Pune Warriors , Chennai Super Kings,Chennai Super Kings,0,8,2011
2011-04-27,Kochi,32nd Match, Kochi Tuskers Kerala , Deccan Chargers,Deccan Chargers,55,0,2011
2011-04-28,Delhi,33rd Match, Delhi Capitals , Kolkata Knight Riders,Kolkata Knight Riders,17,0,2011
2011-04-29,Jaipur,34th Match, Rajasthan Royals , Mumbai Indians,Rajasthan Royals,0,7,2011
2011-04-29,"Bengaluru, Bangalore",35th Match, Royal Challengers Bangalore , Pune Warriors,Royal Challengers Bangalore,26,0,2011
2011-04-30,Kochi,36th Match, Kochi Tuskers Kerala , Delhi Capitals,Delhi Capitals,38,0,2011
2011-04-30,Kolkata,37th Match, Kolkata Knight Riders , Kings XI Punjab,Kolkata Knight Riders,0,8,2011
2011-01-05,Jaipur,38th Match, Rajasthan Royals , Pune Warriors,Rajasthan Royals,0,6,2011
2011-01-05,Chennai,39th Match, Chennai Super Kings , Deccan Chargers,Chennai Super Kings,19,0,2011
2011-02-05,Mumbai,40th Match, Mumbai Indians , Kings XI Punjab,Mumbai Indians,23,0,2011
2011-02-05,Delhi,41st Match, Delhi Capitals , Kochi Tuskers Kerala,Kochi Tuskers Kerala,0,7,2011
2011-03-05,Hyderabad,42nd Match, Deccan Chargers , Kolkata Knight Riders,Kolkata Knight Riders,20,0,2011
2011-04-05,Chennai,43rd Match, Chennai Super Kings , Rajasthan Royals,Chennai Super Kings,0,8,2011
2011-04-05,Mumbai,44th Match, Pune Warriors , Mumbai Indians,Mumbai Indians,21,0,2011
2011-05-05,Kochi,45th Match, Kochi Tuskers Kerala , Kolkata Knight Riders,Kochi Tuskers Kerala,17,0,2011
2011-05-05,Hyderabad,46th Match, Deccan Chargers , Delhi Capitals,Delhi Capitals,0,4,2011
2011-06-05,"Bengaluru, Bangalore",47th Match, Royal Challengers Bangalore , Kings XI Punjab,Royal Challengers Bangalore,85,0,2011
2011-07-05,Kolkata,48th Match, Kolkata Knight Riders , Chennai Super Kings,Kolkata Knight Riders,10,0,2011
2011-07-05,Mumbai,49th Match, Mumbai Indians , Delhi Capitals,Mumbai Indians,32,0,2011
2011-08-05,"Bengaluru, Bangalore",50th Match, Royal Challengers Bangalore , Kochi Tuskers Kerala,Royal Challengers Bangalore,0,9,2011
2011-08-05,"Mohali, Chandigarh",51st Match, Kings XI Punjab , Pune Warriors,Pune Warriors,0,5,2011
2011-09-05,Jaipur,52nd Match, Rajasthan Royals , Chennai Super Kings,Chennai Super Kings,63,0,2011
2011-10-05,Hyderabad,53rd Match, Deccan Chargers , Pune Warriors,Pune Warriors,0,6,2011
2011-10-05,"Mohali, Chandigarh",54th Match, Kings XI Punjab , Mumbai Indians,Kings XI Punjab,76,0,2011
2011-11-05,Jaipur,55th Match, Rajasthan Royals , Royal Challengers Bangalore,Royal Challengers Bangalore,0,9,2011
2011-12-05,Chennai,56th Match, Chennai Super Kings , Delhi Capitals,Chennai Super Kings,18,0,2011
2011-05-13,Indore,57th Match, Kochi Tuskers Kerala , Kings XI Punjab,Kings XI Punjab,0,6,2011
2011-05-14,"Bengaluru, Bangalore",58th Match, Royal Challengers Bangalore , Kolkata Knight Riders,Royal Challengers Bangalore,0,4,2011
